Day	Time	Intensity
Mo	1a	56
Mo	2a	1
Mo	3a	0
Mo	4a	0
Mo	5a	0
Mo	6a	2
Mo	7a	0
Mo	8a	9
Mo	9a	25
Mo	10a	49
Mo	11a	57
Mo	12p	61
Mo	1p	37
Mo	2p	66
Mo	3p	70
Mo	4p	55
Mo	5p	51
Mo	6p	55
Mo	7p	17
Mo	8p	20
Mo	9p	9
Mo	10p	4
Mo	11p	0
Mo	12a	12
Tu	1a	6
Tu	2a	2
Tu	3a	0
Tu	4a	0
Tu	5a	0
Tu	6a	2
Tu	7a	4
Tu	8a	11
Tu	9a	28
Tu	10a	49
Tu	11a	51
Tu	12p	47
Tu	1p	38
Tu	2p	65
Tu	3p	60
Tu	4p	50
Tu	5p	65
Tu	6p	50
Tu	7p	22
Tu	8p	11
Tu	9p	12
Tu	10p	9
Tu	11p	0
Tu	12a	13
We	1a	5
We	2a	8
We	3a	8
We	4a	0
We	5a	0
We	6a	2
We	7a	5
We	8a	12
We	9a	34
We	10a	143
We	11a	54
We	12p	44
We	1p	40
We	2p	48
We	3p	54
We	4p	59
We	5p	60
We	6p	51
We	7p	21
We	8p	16
We	9p	9
We	10p	5
We	11p	4
We	12a	7
Th	1a	0
Th	2a	0
Th	3a	0
Th	4a	0
Th	5a	0
Th	6a	2
Th	7a	4
Th	8a	13
Th	9a	26
Th	10a	58
Th	11a	61
Th	12p	59
Th	1p	53
Th	2p	54
Th	3p	64
Th	4p	55
Th	5p	52
Th	6p	53
Th	7p	18
Th	8p	3
Th	9p	9
Th	10p	12
Th	11p	2
Th	12a	8
Fr	1a	2
Fr	2a	0
Fr	3a	8
Fr	4a	2
Fr	5a	0
Fr	6a	2
Fr	7a	4
Fr	8a	14
Fr	9a	31
Fr	10a	48
Fr	11a	46
Fr	12p	50
Fr	1p	66
Fr	2p	54
Fr	3p	56
Fr	4p	67
Fr	5p	54
Fr	6p	23
Fr	7p	14
Fr	8p	6
Fr	9p	8
Fr	10p	7
Fr	11p	0
Fr	12a	8
Sa	1a	2
Sa	2a	0
Sa	3a	2
Sa	4a	0
Sa	5a	0
Sa	6a	0
Sa	7a	4
Sa	8a	8
Sa	9a	8
Sa	10a	6
Sa	11a	14
Sa	12p	12
Sa	1p	9
Sa	2p	14
Sa	3p	0
Sa	4p	4
Sa	5p	7
Sa	6p	6
Sa	7p	0
Sa	8p	0
Sa	9p	0
Sa	10p	0
Sa	11p	0
Sa	12a	0
Su	1a	7
Su	2a	6
Su	3a	0
Su	4a	0
Su	5a	0
Su	6a	0
Su	7a	0
Su	8a	0
Su	9a	0
Su	10a	0
Su	11a	2
Su	12p	2
Su	1p	5
Su	2p	6
Su	3p	0
Su	4p	4
Su	5p	0
Su	6p	2
Su	7p	10
Su	8p	7
Su	9p	0
Su	10p	19
Su	11p	9
Su	12a	4
