"cumtime (ms)", "last_elapsed (ms)", "name", "details"
12.400000, 12.400000, "controller/start/Prologue", ""
12.400000, 0.000000, "controller/end/Prologue", ""
12.400000, 0.000000, "controller/initializeLoop", ""
16.600000, 4.200000, "controller/isTerminateLoop", ": not_evaluate: None; not_except: None; equiv: None; first: True; large: None."
16.600000, 0.000000, "controller/startAnIteration", "iterations=1"
24.800000, 8.200000, "controller/start/INV_S", ""
24.800000, 0.000000, "controller/end/INV_S", ""
33.000000, 8.200000, "controller/start/INV_V", ""
33.400000, 0.400000, "controller/end/INV_V", ""
42.300000, 8.900000, "controller/start/INTERCEPT", ""
42.300000, 0.000000, "controller/end/INTERCEPT", ""
50.500000, 8.200000, "controller/start/SLOPE", ""
50.500000, 0.000000, "controller/end/SLOPE", ""
58.200000, 7.700000, "controller/start/V_MAX", ""
58.200000, 0.000000, "controller/end/V_MAX", ""
63.100000, 4.900000, "controller/start/K_M", ""
63.100000, 0.000000, "controller/end/K_M", ""
63.200000, 0.100000, "controller/endAnIteration", "iterations=1"
66.300000, 3.100000, "controller/isTerminateLoop", "False: not_evaluate: False; not_except: True; equiv: False,col=INTERCEPT; first: False; large: False."
66.300000, 0.000000, "controller/startAnIteration", "iterations=2"
70.100000, 3.800000, "controller/start/INV_S", ""
70.100000, 0.000000, "controller/end/INV_S", ""
73.600000, 3.500000, "controller/start/INV_V", ""
73.900000, 0.300000, "controller/end/INV_V", ""
77.400000, 3.500000, "controller/start/INTERCEPT", ""
77.400000, 0.000000, "controller/end/INTERCEPT", ""
81.900000, 4.500000, "controller/start/SLOPE", ""
81.900000, 0.000000, "controller/end/SLOPE", ""
85.400000, 3.500000, "controller/start/V_MAX", ""
85.400000, 0.000000, "controller/end/V_MAX", ""
88.800000, 3.400000, "controller/start/K_M", ""
88.800000, 0.000000, "controller/end/K_M", ""
88.800000, 0.000000, "controller/endAnIteration", "iterations=2"
97.500000, 8.700000, "controller/isTerminateLoop", "True - not exception & equivalent values: not_evaluate: False; not_except: True; equiv: True; first: False; large: False."
101.400000, 3.900000, "controller/start/Epilogue", ""
101.400000, 0.000000, "controller/end/Epilogue", ""
112.200000, 10.800000, "controller/endProgram", "After updateColumnFromColumnVariables"
